Plot;Stick;Clone;Diameter;Height
SB5;1y;Yellow;2,3;309
SB5;2y;Yellow;0,7;82
SB5;2y;Yellow;0,5;76
SB5;2y;Yellow;<0,5;70
SB5;2y;Yellow;<0,5;32
SB5;3y;Yellow;0,7;100
SB5;5y;Yellow;2;357
SB5;6y;Yellow;1,5;268
SB5;6y;Yellow;1,8;301
SB5;6y;Yellow;1;161
SB5;6y;Yellow;1,1;168
SB5;1r;Red;2;337
SB5;1r;Red;1,3;215
SB5;1r;Red;1,5;252
SB5;2r;Red;1,8;287
SB5;2r;Red;0,9;114
SB5;2r;Red;0,6;84
SB5;2r;Red;1,8;293
SB5;2r;Red;0,5;56
SB5;2r;Red;<0,5;45
SB5;3r;Red;1,3;191
SB5;3r;Red;1,2;170
SB5;3r;Red;0,9;98
SB5;4r;Red;1,3;192
SB5;4r;Red;0,7;69
SB5;4r;Red;0,5;76
SB5;5r;Red;1;143
SB5;5r;Red;0,7;107
SB5;5r;Red;0,7;78
SB5;6r;Red;1,3;169
SB5;6r;Red;1,8;288
SB5;6r;Red;0,6;102
SB5;6r;Red;2,1;285
SB5;1b;Blue;2,2;353
SB5;1b;Blue;2;291
SB5;1b;Blue;0,7;92
SB5;2b;Blue;2,4;376
SB5;3b;Blue;1,3;164
SB5;3b;Blue;1,3;157
SB5;4b;Blue;<0,5;29
SB5;4b;Blue;<0,5;20
SB5;4b;Blue;0,6;97
SB5;5b;Blue;<0,5;3
SB5;5b;Blue;<0,5;4
SB5;5b;Blue;<0,5;6
SB5;6b;Blue;1,2;132
